sample_id,category,defect_type,dice,iou,precision,recall,predicted_positive_rate,search_region_recall,pixel_auroc,pixel_ap,aupro,disposition,confidence
macaroni2/bad/032,macaroni2,bad,0.0,0.0,0.0,0.0,0.026347333333333334,1.0,0.9961624700888547,0.035432650415697715,0.984038809935252,soft_mask_only,0.5165105529254241
macaroni2/bad/033,macaroni2,bad,0.010354534538081458,0.005204210859585246,0.005204210859585246,1.0,0.03369066666666667,1.0,0.9988121111151171,0.09119657787192631,0.9958440065383911,needs_review,0.3436837432141251
macaroni2/bad/034,macaroni2,bad,0.011308419471684778,0.005686361617059085,0.005686361617059085,1.0,0.02251,1.0,0.9919114091048099,0.01161955570001938,0.9733829895655315,soft_mask_only,0.513153493828725
macaroni2/bad/035,macaroni2,bad,0.019134321849105976,0.009659575639155682,0.009659841479524438,0.9971590909090909,0.024224,1.0,0.9980367542537861,0.13351696226447596,0.9930098056793213,soft_mask_only,0.4702274405977307
macaroni2/bad/036,macaroni2,bad,0.023438969975539608,0.011858460032093997,0.011858782570853505,0.9977116704805492,0.024510666666666667,1.0,0.9966110584549536,0.06827796430700044,0.9882590174674988,needs_review,0.30278390817923995
macaroni2/bad/037,macaroni2,bad,0.00977421561919656,0.004911108928396032,0.004911108928396032,1.0,0.047511333333333336,1.0,0.9995636248457973,0.5200757805503702,0.9982781608899435,soft_mask_only,0.465456098673005
macaroni2/bad/038,macaroni2,bad,0.0,0.0,0.0,0.0,0.012562,0.0,0.9989983791087002,0.18657661884940507,0.9960821270942688,needs_review,0.2941621036136936
macaroni2/bad/039,macaroni2,bad,0.01306381377345304,0.006574853215725534,0.006577700782286225,0.9382239382239382,0.024628666666666667,1.0,0.9936555737697401,0.020492773787716086,0.978052814801534,soft_mask_only,0.4702274405977307
macaroni2/bad/040,macaroni2,bad,0.01164319975243695,0.005855689356652335,0.005855689356652335,1.0,0.03426866666666667,1.0,0.999455821033979,0.31471408875031903,0.9980164964993795,needs_review,0.33593562231274693
macaroni2/bad/041,macaroni2,bad,0.019300037632385355,0.009744049073093938,0.009773760583703139,0.7622080679405521,0.024487333333333333,1.0,0.9828150044775772,0.010847698842531287,0.9423948327700298,needs_review,0.1952851672688085
macaroni2/bad/042,macaroni2,bad,0.05925960681274339,0.030534535696153567,0.030534535696153567,1.0,0.027575333333333334,1.0,0.9962587474636753,0.10419473856748195,0.9870484471321106,soft_mask_only,0.4702274405977307
macaroni2/bad/043,macaroni2,bad,0.042469711831605736,0.021695557963163598,0.02170790536328898,0.9744525547445255,0.024599333333333334,0.7871046228710462,0.9904311552998684,0.03479756058613069,0.9675203760464987,soft_mask_only,0.48444374881296326
macaroni2/bad/044,macaroni2,bad,0.0,0.0,0.0,0.0,0.014316,1.0,0.9966567557027132,0.016710380954031465,0.9915047883987427,needs_review,0.33593562231274693
macaroni2/bad/045,macaroni2,bad,0.0,0.0,0.0,0.0,0.010410666666666667,1.0,0.989749912612499,0.026620892601092946,0.9656277298927307,needs_review,0.1922170403249654
macaroni2/bad/046,macaroni2,bad,0.04219657222805177,0.021553017851272744,0.021554866282643186,0.9960369881109643,0.046640666666666664,0.0,0.9920727814889643,0.2681229059746493,0.9728970130284628,needs_review,0.3573888903290271
macaroni2/bad/047,macaroni2,bad,0.015114552397114976,0.007614823523125017,0.007718557036074098,0.3616751269035533,0.024616,0.0,0.9702570251931062,0.008922969247345643,0.90078870455424,needs_review,0.33593562231274693
macaroni2/bad/048,macaroni2,bad,0.23396538267297184,0.13248063224665937,0.13431026303305044,0.906761565836299,0.012647333333333333,0.0,0.9792414475430473,0.09006557731081474,0.9307024876276653,needs_review,0.33593562231274693
macaroni2/bad/049,macaroni2,bad,0.0,0.0,0.0,0.0,0.014224,1.0,0.9795181042561362,0.09104278176445743,0.9315318862597148,needs_review,0.1922170403249654
macaroni2/bad/050,macaroni2,bad,0.09049773755656108,0.04739336492890995,0.047422111938240974,0.9873708381171068,0.01209,1.0,0.9923553512866862,0.1972216282162053,0.9742564956347148,needs_review,0.3757863317358811
macaroni2/bad/051,macaroni2,bad,0.0,0.0,0.0,0.0,0.010451333333333333,0.0,0.9802046581127123,0.0356434361753584,0.9341333309809368,needs_review,0.1922170403249654
macaroni2/bad/052,macaroni2,bad,0.03861559001745918,0.01968792543721856,0.02025261910532978,0.41386901485965877,0.024754,0.0,0.9678083730316168,0.019410745401605402,0.8927131692568462,soft_mask_only,0.4702274405977307
macaroni2/bad/053,macaroni2,bad,0.027380750034766754,0.013880402939010826,0.01392797069781334,0.802536231884058,0.042408666666666664,1.0,0.9765256628032821,0.020942790541811716,0.9218889474868774,needs_review,0.3412866937950839
macaroni2/bad/054,macaroni2,bad,0.11870384937450836,0.06309684380900998,0.0639857748598003,0.819551506657323,0.02437,0.0,0.986278766694421,0.12760974842190445,0.9541308879852295,needs_review,0.3542429178266962
macaroni2/bad/055,macaroni2,bad,0.02505991455663228,0.012688949270583269,0.013002459924850647,0.34480286738351257,0.024662,1.0,0.9688113470019352,0.014100278357693383,0.8958630760510763,soft_mask_only,0.48444374881296326
macaroni2/bad/056,macaroni2,bad,0.0,0.0,0.0,0.0,0.013977333333333333,0.0,0.9846929728627933,0.05285108686742007,0.949395497639974,needs_review,0.4284515420333887
macaroni2/bad/057,macaroni2,bad,0.1252051394948565,0.06678338101541484,0.06716770453081383,0.9210836277974087,0.015523333333333333,0.0,0.9712900250433314,0.024086145034846428,0.9042483568191528,needs_review,0.33593562231274693
macaroni2/bad/058,macaroni2,bad,0.0,0.0,0.0,0.0,0.019827333333333332,0.718,0.9482296757343124,0.01634287318938492,0.8273747563362122,soft_mask_only,0.47972750423227034
macaroni2/bad/059,macaroni2,bad,0.008184532128761027,0.004109081519237463,0.00414388098230359,0.32854578096947934,0.058882,0.0,0.9274709846092257,0.0046109246625377414,0.7582432528336843,needs_review,0.3804054716362369
macaroni2/bad/060,macaroni2,bad,0.07155854897790381,0.03710693365358692,0.03710693365358692,1.0,0.027200666666666668,1.0,0.9670569150120488,0.015237320717770035,0.8903240164120992,soft_mask_only,0.4702274405977307
macaroni2/bad/061,macaroni2,bad,0.056759415756413814,0.029208640564960017,0.030433371205973055,0.4205607476635514,0.024644,0.0,0.97337258472313,0.03832893822412933,0.9270087877909343,needs_review,0.41363006053790013
macaroni2/bad/062,macaroni2,bad,0.03318345560200889,0.016871657754010696,0.017303315326185318,0.40345268542199486,0.024311333333333334,0.0,0.9551643235853644,0.01832927096140474,0.8935529987017314,needs_review,0.2053126550256295
macaroni2/bad/063,macaroni2,bad,0.029091670154876518,0.014760539449930976,0.014947441998010593,0.5413826679649465,0.024798,0.0,0.9805030844126709,0.021530143729035937,0.9350029627482097,soft_mask_only,0.4702274405977307
macaroni2/bad/064,macaroni2,bad,0.017789560640116803,0.00897460748207017,0.009067053109822967,0.46814964610717896,0.034042666666666666,0.0,0.9645998971459362,0.008681232933668575,0.8820370833079021,needs_review,0.26492412051480796
macaroni2/bad/065,macaroni2,bad,0.033960415797398544,0.01727351578791961,0.01727351578791961,1.0,0.036124666666666666,0.0,0.9707542399619756,0.015434836086348378,0.9239732225735983,soft_mask_only,0.48444374881296326
